id,label,x,y,,,,,,,
50559,Athos Mons,40.26,24.22,,,,,,,.
50562,Geraistos,37.98,24.55,,,,,,,
50564,Thasos,40.78,24.71,,,,,,,
50567,Kardamis,31.92,25.04,,,,,,,
50568,Petras Megas,31.75,25.09,,,,,,,
50569,Hephaistia,39.92,25.14,,,,,,,
50572,Rheneia,37.42,25.21,,,,,,,
50573,Delos,37.4,25.27,,,,,,,
50577,Chersonasos,35.32,25.39,,,,,,,
50582,Kadiston Mons,35.34,25.77,,,,,,,
50586,Tenedos,39.82,26.03,,,,,,,
50588,Chios,38.37,26.14,,,,,,,
50590,Sigeion,40.01,26.2,,,,,,,
50592,Mytilene,39.21,26.31,,,,,,,
50593,Astypaleia,36.55,26.35,,,,,,,
50594,Sestus,40.2284,26.4172,,,,,,,
50597,Samos,37.69,26.94,,,,,,,
50598,Trogilion Pr.,37.67,27.02,,,,,,,
50599,Parium,40.4205,27.0691,,,,,,,
50602,Potidaion,35.51,27.21,,,,,,,
50603,Myndos,37.08,27.24,,,,,,,
50604,Kos,36.89,27.29,,,,,,,
50606,Cnidus,36.69,27.37,,,,,,,
50608,Halicarnassus,37.04,27.43,0,,,,,,
50609,Proconnesus,40.5917,27.5557,,,,,,,
50610,Bargylia,37.19,27.59,,,,,,,
50611,Apollonia Pontica,42.4172,27.6965,,,,,,,
50612,Cyzicus,40.3813,27.8923,,,,,,,
50613,Rhodos,36.44,28.23,,,,,,,
50614,Caunus,36.83,28.63,,,,,,,
50617,Mouth of Pontus,41.2123,29.1239,,,,,,,
50618,Salsovia,45.0665,29.124,,,,,,,
50619,Prusias,40.4325,29.1564,,,,,,,
50620,Tyras,46.2009,30.3505,,,,,,,
